sg_gls_id,land_parcel_id,date_launch,date_close,date_award,land_parcel_name,region,zone,street,latitude,longitude,site_area_sqm,gpr,gfa_sqm,land_use_type,project_type,lease_term,num_bidders,successful_tenderer_name,successful_tender_price,successful_price_psm_gfa,joint_venture,proj_name_raw,proj_name_res,proj_name_non_res,in_db,project_name_indb,source,tender_details,tenderer_name_1st,tender_price_1st,price_psm_gfa_1st,tenderer_name_2nd,tender_price_2nd,price_psm_gfa_2nd,price_premium_total,price_premium_psm,proj_num_of_units,proj_max_floor,construction_cost_edgeprop,financing_cost_edgeprop,fees_and_taxes_edgeprop,other_cost_edgeprop,constr_cost_psf
2ee8be45956aadaa81fd14883baf37b2c510f0a47b3e761e6df886c4a839733c,7e76e13080a6682fad3e6539c6be980d2fa3002391cdec6da8859bd517aa2385,10/4/2002,8/5/2002,14/5/2002,Lengkong Empat,east region,bedok,Lengkong Empat,1.32879591,103.9129639,2936.0,2.1,6165.0,residential,Residential (Non-Landed),99,2.0,Tanglin View Pte Ltd,11120000.0,1803.7,0,astor,astor,,1.0,astor,ura,1.0,Tanglin View Pte Ltd,11120000.0,1803.7,L K ANG CORPORATE PTE LTD,9700177.0,1573.4,1419823.0,230.3,55.0,12.0,,,,,
1151a728199876797747429b92440bcdb05233bed522078cddb609700a0ea939,d893ca7f8a402cf7961d007912c9f6065df7ec1b448821f1b77472c1dc272bd9,25/7/2002,22/8/2002,26/8/2002,Boon Lay Way / Jurong West Street 51,west region,jurong west,Boon Lay Way/Jurong West Street 51,1.34587574,103.7229462,27000.0,3.5,94500.0,residential,Residential (Non-Landed),99,6.0,Tanglin View Pte. Ltd.,200018000.0,2116.6,0,the-lakeshore,the-lakeshore,,1.0,the-lakeshore,ura,1.0,TANGLIN VIEW Pte. Ltd.,200018000.0,2116.6,CENTREPOINT PROPERTIES Ltd.,199100000.0,2106.9,918000.0,9.7,848.0,17.0,,,,,
55fdac8023d1b4f548354d086d7864486f8ad33249ecd994270dadc16578ad83,4ef5ab2bbee3a87a2918a90397c10d9647055223e1ffb4d1cf7a83a945962bdd,6/8/2002,3/9/2002,5/9/2002,Mount Faber Road,central region,bukit merah,Mount Faber Road,1.270668983,103.8244247,10560.0,2.1,22176.0,residential,Residential (Non-Landed),99,6.0,Sim Lian Land Pte. Ltd.,68100000.0,3070.9,0,the-pearl-at-mount-faber,the-pearl-at-mount-faber,,1.0,the-pearl-at-mount-faber,ura,1.0,SIM LIAN LAND Pte. Ltd.,68100000.0,3070.9,CENTREPOINT PROPERTIES Ltd.,63100000.0,2845.4,5000000.0,225.5,192.0,10.0,,,,,
bb6f40a67d62f05db4da87e44166812e308edd6f9bbcbd94fce4d7dec7d7f83a,b4baffda56403c6d9f28e73e0197dc38bef9ff28d0ffa1a1766ae37a3182cbe5,25/9/2002,22/10/2002,25/10/2002,Choa Chu Kang E3,west region,choa chu kang,Choa Chu Kang Street 64,1.398900032,103.7509842,20955.0,3.0,62864.0,residential,EC,99,8.0,Centrepoint Properties Ltd.,108300000.0,1722.8,0,the-quintet,the-quintet,,1.0,the-quintet,hdb,1.0,Centrepoint Properties Ltd.,108300000.0,1722.8,Allgreen Properties Ltd.,90558000.0,1440.5,17742000.0,282.2,459.0,21.0,,,,,
9645b6a6c52057e39399c3a387a9ccc1eb3e87b54ec7c7d74a5946c2cc66da58,3cbe1b7565e15785e4a06bd6c99530ffa62fdcdc63dd82a1fdf27ee825bc4a99,28/7/2003,8/9/2003,15/9/2003,Boon Lay Way,west region,jurong west,Boon Lay Way,1.328586415,103.7525896,72327.0,2.0,144655.0,others,Industrial,60,2.0,Midview Realty Pte Ltd,31180000.0,215.6,0,tradehub-21,,tradehub-21,0.0,,ura,1.0,Midview Realty Pte Ltd,31180000.0,215.6,LING KWOK CHUN,29000000.0,200.5,2180000.0,15.1,,,,,,,
204fdcec9316630dff4dc3804447d19312e12923c35bba264264b54757651ff3,de5a3f1ef753afafd5ea6fbaac6651ee318a48e65282aeb02eb5d1e26499f985,4/9/2003,2/10/2003,8/10/2003,Jellicoe Road,central region,kallang,Jellicoe Road,1.308941245,103.86306,14595.0,4.2,61300.0,residential,Residential (Non-Landed),99,3.0,Woodsvale Land Pte. Ltd.,161500000.0,2634.6,0,citylights,citylights,,1.0,citylights,ura,1.0,WOODSVALE LAND Pte. Ltd.,161500000.0,2634.6,CENTREPOINT PROPERTIES Ltd.,143900000.0,2347.5,17600000.0,287.1,600.0,41.0,,,,,
73fcd450c9ecc9bbdcab0a238d9df6179ead5d7f1854f86465915b43877edb10,694b89741397a479da4e329863f05b74a5442c635065b0ef0a67463999a1decf,22/9/2003,20/10/2003,27/10/2003,Flower Road / Kovan Road,north-east region,hougang,Flower Road/Kovan Road,1.35969317,103.8833771,25273.0,3.5,88454.0,residential,Residential (Non-Landed),99,7.0,Winwill Investment Pte. Ltd. | NTUC Choice Homes Co-operative Ltd. | Greatearth Developments Pte. Ltd.,255000000.0,2882.9,1,kovan-melody,kovan-melody,,1.0,kovan-melody,ura,1.0,WINWILL INVESTMENT Pte. Ltd. | NTUC CHOICE HOMES CO-OPERATIVE LIMITED & GREATEARTH DEVELOPMENTS Pte. Ltd.,255000000.0,2882.9,MARINA GREEN LIMITED,251390000.0,2842.0,3610000.0,40.8,778.0,17.0,,,,,
58e878f29353c15d3ab23f98d51ff92f51efa671c30b9bd637a4fd15dbe4aac0,011dd48f685011abfc5fc9059a91d1243abd401f227945a8774e120d64d2e671,12/5/2004,8/6/2004,15/6/2004,Woodlands E3,north region,woodlands,Woodlands Dr 16/Woodlands Dr 53,1.432299376,103.7977829,17915.0,2.8,50162.0,residential,EC,99,6.0,Tanglin View Pte. Ltd.,80900000.0,1612.8,0,la-casa,la-casa,,1.0,la-casa,hdb,1.0,Tanglin View Pte. Ltd.,80900000.0,1612.8,Sim Lian Land Pte. Ltd.,74520000.0,1485.6,6380000.0,127.2,444.0,12.0,,,,,
7f0720654a7bb4735ada4c7cd5d0f137c0fa3d47092022ebf76a522d802137a1,901d3830f02a3c520e4b876e577536810762cb44cafd74ee2c6c4451dac4e7be,21/10/2004,18/11/2004,26/11/2004,Handy Road,central region,museum,Handy Road,1.299712286,103.8471867,1181.0,2.8,3308.0,mixed,Residential with Commercial at 1st Sty,99,6.0,Lam Kong Yin Patrick,12300000.0,3718.3,0,haus-on-handy,haus-on-handy,haus-on-handy,1.0,haus-on-handy,ura,1.0,LAM KONG YIN PATRICK,12300000.0,3718.3,SIM LIAN LAND Pte. Ltd.,11750000.0,3552.0,550000.0,166.3,188.0,12.0,,,,,
6d833d1b9976f2393e604848f7687cb3a376d79805ac46723fe563297b91c900,906ba5d25b1622de1b2feaf52ab58e62b4a2fa4bb370ba67b228579c04e3cd9d,8/11/2004,16/12/2004,22/12/2004,Lower Delta Road,central region,bukit merah,Lower Delta Road,1.280238779,103.8228145,10801.0,2.5,27002.0,others,Industrial,60,3.0,Sim Lian Development Pte. Ltd.,18900000.0,700.0,0,cendex-centre,,cendex-centre,0.0,,ura,1.0,SIM LIAN DEVELOPMENT Pte. Ltd.,18900000.0,700.0,AFFLUENCE RESOURCE Pte. Ltd.,15500000.0,574.0,3400000.0,125.9,,,,,,,
