poi_name,poi_type,poi_subtype,poi_lat,poi_long,location_poi_dwid,town
32111 (bus stop),transportation,bus stop,1.39837199986919,103.699645800079,86226d912bc04520df0dc2eb0a3c14a0,western water catchment
32119 (bus stop),transportation,bus stop,1.39857999995098,103.699882699842,061aa59de7b0f8e69b0c5c5bbeda7eb1,western water catchment
32061 (bus stop),transportation,bus stop,1.41146307596942,103.700060042684,7a8b13e73088dc93b569e1077382eda6,western water catchment
32079 (bus stop),transportation,bus stop,1.41512827694018,103.700268229752,5e4a9cc623374356c105653d42982067,western water catchment
32069 (bus stop),transportation,bus stop,1.4110325791828,103.7003812107,f59f3057aaa0bd5f16931536b6f8cee3,western water catchment
32031 (bus stop),transportation,bus stop,1.4027029942502,103.700781747559,8fc5ccef95f46cd2215d9b9b6acd5e3b,western water catchment
32039 (bus stop),transportation,bus stop,1.40251788786332,103.700814781229,e842f2c205d07afe7bc04760a3c2111d,western water catchment
32051 (bus stop),transportation,bus stop,1.40929365510908,103.700979420733,8bcb0c37b5b9501a9b12a654510d2357,western water catchment
32081 (bus stop),transportation,bus stop,1.41744631599746,103.701203611325,edbcf4bf9a3a51df9b40653004046cfe,western water catchment
32059 (bus stop),transportation,bus stop,1.409031408,103.7012078,6fba65accaa49a294628c11cb24aecba,western water catchment
31169 (bus stop),transportation,bus stop,1.37245094187533,103.701219370078,24720aee261d58930b81b3de9dc45701,western water catchment
32041 (bus stop),transportation,bus stop,1.4043610437907,103.701661572037,321ed78bc6ede841ddf23d3a6db487e8,western water catchment
32049 (bus stop),transportation,bus stop,1.40452254382527,103.701870316268,a3e04c2ce4b6b165924999f18a740616,western water catchment
44501 (bus stop),transportation,bus stop,1.38087128677601,103.738797871678,1e30c9d7e9e481830c622b30c737bc81,choa chu kang
17221 (bus stop),transportation,bus stop,1.3173563127716,103.767900225814,883ecfa329cd2f43dc50ddcc4e39d8bf,clementi
cold storage singapore (1983) pte ltd,market,,1.37797193293045,103.739042110983,ddc3f019aacabdab45d27fa3e6b0802a,choa chu kang
44519 (bus stop),transportation,bus stop,1.37914758706438,103.739706648234,fb62a011c07c0fc8a35b35eb735051c6,choa chu kang
45451 (bus stop),transportation,bus stop,1.37792388893252,103.739708055387,17e7a8ae6c9f49c08fc1d4c18b8806a2,choa chu kang
44589 (bus stop),transportation,bus stop,1.37512566991363,103.740181525575,ab36db2bad51deedf8a96abbd721d220,choa chu kang
44581 (bus stop),transportation,bus stop,1.37532277779374,103.74031352993,d6a33e5c01c7517641cf9eae20375985,choa chu kang
44511 (bus stop),transportation,bus stop,1.37948507128359,103.740568771769,48e2b41c1fea87d769db14eaf71262e9,choa chu kang
44081 (bus stop),transportation,bus stop,1.37679747598035,103.740729742687,69b5aedd6a2da1b1366dff3a4d6e5c0e,choa chu kang
44499 (bus stop),transportation,bus stop,1.38320160532417,103.740893580443,3a7e3d1a681577088875a4a93bec0392,choa chu kang
